start: 2020-02-18 19:10:23
2020-02-18 19:10:23-2.50 mA,3.75 mV,0.00 mW
2020-02-18 19:10:24-2.50 mA,1.2020-02-18 19:10:2425 mV,0.00 mW
2020-02-18 19:10:25-3.75 mA,2.50 mV,0.00 mW
2020-02-18 19:10:26-1.25 mA,1.25 2020-02-18 19:10:26mV,0.00 mW
2020-02-18 19:10:27-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:10:28-2.50 mA,3.75 mV,2020-02-18 19:10:280.00 mW
2020-02-18 19:10:29-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:10:30-2.50 mA,1.25 mV,0.2020-02-18 19:10:3000 mW
2020-02-18 19:10:31-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:10:32-2.50 mA,1.25 mV,0.00 2020-02-18 19:10:32mW
2020-02-18 19:10:33-5.00 mA,1.25 mV,0.00 mW
end: 2020-02-18 19:10:33
